fecha,hora,ubicacion,flujo_vehicular
2025-01-19,3,san pedro,516
2025-01-19,4,zapote,1197
2025-01-19,7,ruta 32,1077
2025-01-19,22,zapote,617
2025-01-19,23,alajuela centro,649
2025-01-20,0,ruta 32,833
2025-01-20,15,san pedro,461
2025-01-20,17,circunvalacion,789
2025-01-20,19,circunvalacion,1767
2025-01-20,22,ruta 27,1571
2025-01-21,1,ruta 32,486
2025-01-21,3,ruta 32,1837
2025-01-21,4,alajuela centro,267
2025-01-21,7,alajuela centro,625
2025-01-21,14,zapote,325
2025-01-21,19,san pedro,1684
2025-01-22,0,zapote,1949
2025-01-22,3,alajuela centro,1735
2025-01-22,4,alajuela centro,1326
2025-01-22,6,general canas,1258
2025-01-22,8,general canas,1530
2025-01-22,10,ruta 27,426
2025-01-23,12,ruta 32,891
2025-01-23,13,general canas,1649
2025-01-23,19,zapote,210
2025-01-24,0,ruta 27,981
2025-01-24,16,alajuela centro,512
2025-01-25,13,zapote,1172
2025-01-25,15,san pedro,720
2025-01-25,22,ruta 32,1057
2025-01-26,2,alajuela centro,282
2025-01-26,3,general canas,618
2025-01-26,5,ruta 32,1891
2025-01-26,12,general canas,1072
2025-01-26,17,san pedro,935
2025-01-26,23,ruta 27,372
2025-01-27,1,circunvalacion,451
2025-01-27,4,ruta 27,502
2025-01-27,9,general canas,1271
2025-01-27,11,zapote,1272
2025-01-27,12,zapote,342
2025-01-27,17,alajuela centro,201
2025-01-28,0,ruta 32,1476
2025-01-28,6,ruta 27,1621
2025-01-28,10,ruta 32,411
2025-01-28,21,general canas,1870
2025-01-29,4,alajuela centro,807
2025-01-29,6,general canas,832
2025-01-29,12,zapote,542
2025-01-29,14,ruta 32,623
2025-01-29,17,alajuela centro,1262
2025-01-30,23,ruta 32,646
2025-01-31,1,san pedro,439
2025-01-31,9,general canas,1255
2025-01-31,11,circunvalacion,868
2025-01-31,16,general canas,1471
2025-01-31,22,ruta 32,658
2025-02-01,0,ruta 27,336
2025-02-01,5,circunvalacion,1658
2025-02-01,6,general canas,1688
2025-02-01,9,ruta 27,682
2025-02-01,10,san pedro,1072
2025-02-01,11,general canas,1766
2025-02-01,16,circunvalacion,751
2025-02-01,18,alajuela centro,1943
2025-02-02,7,ruta 27,1259
2025-02-02,14,zapote,395
2025-02-02,22,zapote,427
2025-02-03,3,circunvalacion,1510
2025-02-03,4,alajuela centro,661
2025-02-03,9,alajuela centro,936
2025-02-03,10,alajuela centro,902
2025-02-03,16,ruta 32,1909
2025-02-03,19,alajuela centro,782
2025-02-03,20,general canas,1275
2025-02-03,23,circunvalacion,1486
2025-02-04,7,ruta 32,726
2025-02-04,11,san pedro,1772
2025-02-04,22,general canas,1417
2025-02-05,6,san pedro,816
2025-02-05,11,zapote,1998
2025-02-05,17,san pedro,736
2025-02-05,18,ruta 27,1196
2025-02-05,19,circunvalacion,1902
2025-02-05,21,ruta 27,867
2025-02-06,3,circunvalacion,904
2025-02-06,5,ruta 27,577
2025-02-06,17,alajuela centro,1183
2025-02-06,18,ruta 27,312
2025-02-07,6,san pedro,1954
2025-02-07,8,general canas,1726
2025-02-07,10,circunvalacion,1029
2025-02-07,11,alajuela centro,337
2025-02-07,23,circunvalacion,1161
2025-02-08,5,general canas,409
2025-02-08,9,ruta 27,492
2025-02-09,7,ruta 32,696
2025-02-09,19,circunvalacion,1952
2025-02-09,21,san pedro,663
2025-02-10,3,san pedro,1163
2025-02-10,16,san pedro,520
2025-02-10,23,general canas,1816
2025-02-11,3,san pedro,636
2025-02-11,4,san pedro,400
2025-02-11,7,zapote,705
2025-02-11,12,san pedro,574
2025-02-11,13,ruta 32,653
2025-02-12,3,ruta 27,884
2025-02-12,4,alajuela centro,286
2025-02-12,7,zapote,407
2025-02-12,10,ruta 27,1142
2025-02-12,15,zapote,635
2025-02-12,19,ruta 27,935
2025-02-12,21,circunvalacion,521
2025-02-13,13,ruta 32,1613
2025-02-13,16,alajuela centro,1045
2025-02-14,1,ruta 27,355
2025-02-14,5,circunvalacion,782
2025-02-14,9,circunvalacion,1963
2025-02-14,10,circunvalacion,1136
2025-02-14,12,alajuela centro,1242
2025-02-14,22,general canas,1018
2025-02-15,14,general canas,1084
2025-02-15,19,ruta 27,1584
2025-02-15,20,san pedro,243
2025-02-15,22,san pedro,407
2025-02-15,23,zapote,601
2025-02-16,2,zapote,1009
2025-02-16,4,alajuela centro,1441
2025-02-16,10,zapote,726
2025-02-16,12,zapote,878
2025-02-16,19,zapote,1320
2025-02-17,11,ruta 32,1404
2025-02-17,18,zapote,1236
2025-02-17,22,san pedro,569
2025-02-18,3,ruta 27,1026
2025-02-18,18,circunvalacion,249
2025-02-19,0,zapote,870
2025-02-19,7,general canas,218
2025-02-19,9,ruta 32,902
2025-02-19,18,zapote,1402
2025-02-19,22,san pedro,607
2025-02-20,1,alajuela centro,712
2025-02-20,5,ruta 27,1682
2025-02-20,12,ruta 27,894
2025-02-21,8,zapote,1876
2025-02-21,10,ruta 32,1588
2025-02-21,15,general canas,1034
2025-02-21,17,zapote,347
2025-02-21,23,circunvalacion,734
2025-02-22,1,ruta 32,687
2025-02-22,4,zapote,473
2025-02-22,11,san pedro,1455
2025-02-22,15,alajuela centro,240
2025-02-22,16,ruta 27,851
2025-02-23,1,zapote,545
2025-02-23,5,ruta 32,921
2025-02-23,8,zapote,1479
2025-02-23,9,general canas,1401
2025-02-23,12,san pedro,1784
2025-02-23,14,zapote,1803
2025-02-23,16,circunvalacion,240
2025-02-23,18,alajuela centro,1556
2025-02-23,23,general canas,1538
2025-02-24,4,zapote,1546
2025-02-24,8,ruta 32,1108
2025-02-24,14,ruta 27,1372
2025-02-25,8,alajuela centro,1587
2025-02-26,6,ruta 27,853
2025-02-26,7,san pedro,1116
2025-02-26,10,zapote,1444
2025-02-26,12,ruta 32,510
2025-02-26,14,ruta 27,771
2025-02-26,19,alajuela centro,1551
2025-02-26,20,circunvalacion,670
2025-02-26,22,zapote,1071
2025-02-27,0,circunvalacion,1366
2025-02-27,9,alajuela centro,1554
2025-02-27,20,zapote,227
2025-02-28,1,alajuela centro,566
2025-02-28,3,ruta 27,1529
2025-02-28,5,ruta 32,962
2025-02-28,8,circunvalacion,1521
2025-02-28,19,zapote,1694
2025-02-28,22,ruta 27,1678
2025-03-01,10,circunvalacion,433
2025-03-01,14,san pedro,1526
2025-03-02,2,san pedro,1602
2025-03-02,6,ruta 27,1736
2025-03-02,10,alajuela centro,1144
2025-03-02,15,ruta 32,935
2025-03-02,22,ruta 32,473
2025-03-02,23,zapote,1463
2025-03-03,3,circunvalacion,1771
2025-03-03,4,general canas,1671
2025-03-03,7,zapote,548
2025-03-03,13,ruta 32,1889
2025-03-03,17,ruta 32,507
2025-03-03,19,circunvalacion,1960
2025-03-03,20,ruta 32,1446
2025-03-03,22,zapote,757
2025-03-04,1,ruta 32,1411
2025-03-04,3,zapote,1378
2025-03-04,5,circunvalacion,1252
2025-03-04,12,alajuela centro,1606
2025-03-04,13,circunvalacion,1834
2025-03-04,21,ruta 32,1653
2025-03-05,7,circunvalacion,963
2025-03-06,3,alajuela centro,1943
2025-03-06,4,ruta 27,1604
2025-03-06,10,general canas,963
2025-03-06,11,ruta 32,1527
2025-03-06,13,ruta 27,1853
2025-03-06,23,ruta 27,630
2025-03-07,4,zapote,898
2025-03-07,6,circunvalacion,688
2025-03-07,8,general canas,967
2025-03-07,10,ruta 32,286
2025-03-07,13,general canas,248
2025-03-07,21,alajuela centro,1304
2025-03-07,22,general canas,1775
2025-03-08,5,san pedro,1984
2025-03-08,21,general canas,1259
2025-03-09,2,general canas,1624
2025-03-09,12,general canas,403
2025-03-09,17,san pedro,288
2025-03-09,20,alajuela centro,1184
2025-03-09,23,ruta 27,1266
2025-03-10,9,circunvalacion,1787
2025-03-11,4,general canas,1229
2025-03-11,6,general canas,685
2025-03-11,11,general canas,1967
2025-03-11,12,zapote,325
2025-03-11,16,ruta 27,418
2025-03-11,20,ruta 32,302
2025-03-12,0,zapote,685
2025-03-12,9,alajuela centro,705
2025-03-12,12,ruta 32,206
2025-03-12,14,circunvalacion,848
2025-03-13,9,zapote,1013
2025-03-13,11,general canas,1480
2025-03-13,14,san pedro,1394
2025-03-13,15,circunvalacion,528
2025-03-13,19,san pedro,1874
2025-03-14,0,general canas,1019
2025-03-14,2,zapote,468
2025-03-14,3,ruta 27,979
2025-03-15,1,san pedro,1108
2025-03-15,2,alajuela centro,633
2025-03-16,7,zapote,898
2025-03-16,11,ruta 27,1671
2025-03-16,16,san pedro,577
2025-03-17,5,alajuela centro,1692
2025-03-17,7,san pedro,414
2025-03-17,12,ruta 27,298
2025-03-17,13,san pedro,1927
2025-03-18,2,alajuela centro,1316
2025-03-18,15,zapote,1182
2025-03-18,22,alajuela centro,438
2025-03-18,23,zapote,1509
2025-03-19,11,ruta 27,434
2025-03-19,16,alajuela centro,1200
2025-03-19,17,zapote,1964
2025-03-19,22,ruta 27,1626
2025-03-20,3,san pedro,212
2025-03-20,4,ruta 32,596
2025-03-20,6,circunvalacion,1612
2025-03-20,7,ruta 32,801
2025-03-20,20,general canas,1555
2025-03-21,6,san pedro,1020
2025-03-21,9,ruta 27,1479
2025-03-21,15,general canas,667
2025-03-22,1,circunvalacion,1997
2025-03-22,3,san pedro,1271
2025-03-22,12,circunvalacion,387
2025-03-22,15,zapote,384
2025-03-22,16,alajuela centro,1978
2025-03-22,18,ruta 27,686
2025-03-22,21,general canas,853
2025-03-22,23,alajuela centro,589
2025-03-23,11,general canas,856
2025-03-23,20,circunvalacion,1992
2025-03-24,5,ruta 32,968
2025-03-24,17,ruta 32,1057
2025-03-25,9,ruta 32,848
2025-03-25,14,ruta 32,1072
2025-03-25,20,alajuela centro,247
2025-03-26,7,alajuela centro,350
2025-03-26,11,ruta 32,1548
2025-03-26,14,ruta 27,1435
2025-03-26,16,ruta 27,215
2025-03-26,20,alajuela centro,282
2025-03-27,3,ruta 32,740
2025-03-27,6,san pedro,940
2025-03-27,12,zapote,1930
2025-03-27,20,ruta 27,1421
2025-03-28,4,alajuela centro,367
2025-03-28,9,zapote,1556
2025-03-28,20,ruta 27,1410
2025-03-28,22,san pedro,1645
2025-03-29,8,ruta 27,379
2025-03-29,10,ruta 32,1273
2025-03-29,14,general canas,788
2025-03-29,15,ruta 32,347
2025-03-29,17,ruta 32,1248
2025-03-29,21,circunvalacion,1972
2025-03-30,2,general canas,1695
2025-03-30,3,general canas,350
2025-03-30,9,alajuela centro,1333
2025-03-30,15,general canas,950
2025-03-30,16,alajuela centro,1369
2025-03-30,22,circunvalacion,1497
2025-03-30,23,zapote,201
2025-03-31,1,san pedro,372
2025-03-31,2,san pedro,1973
2025-03-31,3,alajuela centro,347
2025-03-31,6,ruta 27,1534
2025-03-31,7,alajuela centro,611
2025-03-31,11,alajuela centro,947
2025-03-31,16,ruta 32,386
2025-03-31,19,ruta 27,917
2025-03-31,20,circunvalacion,432
2025-03-31,22,ruta 32,1703
2025-04-01,13,san pedro,1793
2025-04-01,23,ruta 32,764
2025-04-02,11,ruta 27,1690
2025-04-02,12,zapote,1749
2025-04-02,13,general canas,1309
2025-04-02,17,general canas,986
2025-04-02,21,general canas,1172
2025-04-02,22,ruta 32,1064
2025-04-03,1,ruta 32,1612
2025-04-03,8,ruta 27,1042
2025-04-03,14,general canas,267
2025-04-03,17,san pedro,1547
2025-04-03,19,alajuela centro,873
2025-04-03,22,alajuela centro,1822
2025-04-04,1,alajuela centro,1895
2025-04-04,4,general canas,930
2025-04-04,9,circunvalacion,529
2025-04-04,13,ruta 27,217
2025-04-04,16,alajuela centro,1259
2025-04-04,18,ruta 27,836
2025-04-04,19,circunvalacion,1685
2025-04-04,20,ruta 27,1127
2025-04-05,4,ruta 32,1273
2025-04-05,11,ruta 27,1126
2025-04-06,0,ruta 32,1987
2025-04-06,1,san pedro,467
2025-04-06,10,circunvalacion,801
2025-04-06,12,san pedro,625
2025-04-06,14,general canas,1457
2025-04-06,15,circunvalacion,247
2025-04-07,0,ruta 27,776
2025-04-07,23,ruta 32,1008
2025-04-08,9,general canas,1673
2025-04-08,22,zapote,1953
2025-04-09,6,zapote,1939
2025-04-09,13,general canas,1036
2025-04-09,15,san pedro,1958
2025-04-10,16,ruta 32,1240
2025-04-11,4,zapote,273
2025-04-11,10,general canas,1346
2025-04-11,12,zapote,1627
2025-04-11,13,ruta 27,1591
2025-04-11,22,circunvalacion,914
2025-04-12,2,zapote,338
2025-04-12,10,san pedro,1460
2025-04-12,15,alajuela centro,1844
2025-04-12,17,zapote,1628
2025-04-12,22,zapote,1688
2025-04-13,7,san pedro,1759
2025-04-13,9,san pedro,729
2025-04-13,14,zapote,856
2025-04-14,22,zapote,1113
2025-04-14,23,ruta 32,223
2025-04-15,0,zapote,1678
2025-04-15,13,ruta 32,278
2025-04-15,14,circunvalacion,1642
2025-04-15,20,general canas,1529
2025-04-15,21,general canas,622
2025-04-16,1,general canas,1566
2025-04-16,19,general canas,684
2025-04-17,7,san pedro,930
2025-04-17,17,zapote,344
2025-04-17,18,ruta 32,685
2025-04-18,7,general canas,562
2025-04-18,9,circunvalacion,1484
2025-04-18,13,ruta 27,509
2025-04-18,14,alajuela centro,1908
2025-04-18,15,alajuela centro,282
2025-04-18,23,general canas,794
2025-04-19,13,general canas,607
2025-04-20,9,circunvalacion,218
2025-04-20,12,general canas,595
2025-04-20,15,san pedro,232
2025-04-20,16,ruta 27,874
2025-04-20,18,zapote,693
2025-04-20,20,circunvalacion,1704
2025-04-20,21,ruta 27,1861
2025-04-20,23,circunvalacion,1739
2025-04-21,3,ruta 32,1624
2025-04-21,4,circunvalacion,377
2025-04-21,6,san pedro,1825
2025-04-21,11,san pedro,1947
2025-04-21,13,alajuela centro,598
2025-04-22,5,general canas,660
2025-04-22,6,general canas,778
2025-04-23,2,alajuela centro,1741
2025-04-23,10,circunvalacion,1287
2025-04-23,13,ruta 27,969
2025-04-24,14,alajuela centro,1696
2025-04-24,19,zapote,1476
2025-04-24,23,circunvalacion,819
2025-04-25,0,ruta 27,1332
2025-04-25,2,zapote,958
2025-04-25,16,ruta 27,1172
2025-04-25,20,circunvalacion,875
2025-04-25,21,alajuela centro,982
2025-04-26,5,general canas,616
2025-04-26,7,alajuela centro,1804
2025-04-26,10,zapote,1070
2025-04-26,12,ruta 32,593
2025-04-26,15,ruta 32,319
2025-04-26,16,zapote,992
2025-04-26,17,alajuela centro,1912
2025-04-26,18,san pedro,1776
2025-04-26,20,general canas,322
2025-04-27,2,circunvalacion,1734
2025-04-27,10,circunvalacion,1520
2025-04-27,19,general canas,1975
2025-04-27,20,ruta 27,1375
2025-04-28,10,ruta 32,1424
2025-04-28,19,alajuela centro,1160
2025-04-28,23,alajuela centro,508
2025-04-29,8,ruta 32,760
2025-04-29,9,ruta 32,1929
2025-04-29,17,zapote,1200
2025-04-29,18,san pedro,287
2025-04-29,20,ruta 27,1012
2025-04-29,21,san pedro,1941
2025-04-30,10,san pedro,925
2025-04-30,13,general canas,1560
2025-04-30,15,circunvalacion,1644
2025-04-30,18,san pedro,400
2025-05-01,0,general canas,1910
2025-05-01,11,ruta 27,691
2025-05-01,12,general canas,1146
2025-05-01,14,alajuela centro,934
2025-05-01,18,alajuela centro,1648
2025-05-01,23,general canas,883
2025-05-02,1,ruta 32,1364
2025-05-02,7,circunvalacion,1313
2025-05-02,8,alajuela centro,1549
2025-05-02,11,ruta 27,1332
2025-05-02,15,zapote,532
2025-05-02,17,circunvalacion,1950
2025-05-03,2,general canas,1800
2025-05-03,3,circunvalacion,365
2025-05-03,6,ruta 27,1945
2025-05-03,9,zapote,1101
2025-05-03,17,general canas,670
2025-05-03,20,ruta 32,686
2025-05-04,2,ruta 27,230
2025-05-04,7,san pedro,1964
2025-05-04,22,san pedro,1084
2025-05-05,6,ruta 27,1726
2025-05-05,16,zapote,1760
2025-05-06,2,circunvalacion,368
2025-05-06,5,general canas,1151
2025-05-06,9,alajuela centro,634
2025-05-06,15,circunvalacion,340
2025-05-07,1,zapote,1125
2025-05-07,2,san pedro,1144
2025-05-07,22,ruta 27,213
2025-05-08,8,general canas,652
2025-05-08,22,circunvalacion,476
2025-05-09,0,zapote,1193
2025-05-09,2,ruta 27,1982
2025-05-09,4,circunvalacion,296
2025-05-09,9,ruta 32,1992
2025-05-09,13,san pedro,787
2025-05-09,17,alajuela centro,1845
2025-05-10,2,alajuela centro,1798
2025-05-10,4,general canas,1347
2025-05-10,5,alajuela centro,536
2025-05-10,7,alajuela centro,843
2025-05-10,11,circunvalacion,1805
2025-05-11,1,zapote,807
2025-05-11,9,ruta 32,335
2025-05-11,20,circunvalacion,1496
2025-05-12,8,circunvalacion,1270
2025-05-12,12,ruta 27,714
2025-05-12,15,san pedro,1071
2025-05-12,18,ruta 27,737
2025-05-13,4,general canas,1089
2025-05-13,12,circunvalacion,527
2025-05-13,23,ruta 32,1475
2025-05-14,0,alajuela centro,885
2025-05-14,5,san pedro,1434
2025-05-14,9,general canas,410
2025-05-14,10,san pedro,1896
2025-05-14,19,san pedro,1725
2025-05-14,20,alajuela centro,387
2025-05-15,9,zapote,645
2025-05-15,16,alajuela centro,784
2025-05-15,22,san pedro,497
2025-05-16,5,ruta 27,1409
2025-05-16,12,ruta 27,470
2025-05-16,16,general canas,412
2025-05-16,19,ruta 27,628
2025-05-16,22,ruta 32,320
2025-05-17,10,san pedro,1085
2025-05-17,13,general canas,394
2025-05-17,17,alajuela centro,1326
2025-05-17,19,circunvalacion,353
2025-05-18,6,ruta 32,1832
2025-05-18,15,zapote,1253
2025-05-19,6,zapote,225
2025-05-19,13,ruta 32,599
2025-05-19,19,ruta 32,515
2025-05-19,23,san pedro,1069
2025-05-20,4,circunvalacion,648
2025-05-20,7,ruta 32,1085
2025-05-20,12,san pedro,640
2025-05-20,15,ruta 32,500
2025-05-20,16,zapote,420
2025-05-20,19,zapote,290
2025-05-21,1,zapote,997
2025-05-21,6,zapote,1854
2025-05-21,11,alajuela centro,1982
2025-05-21,12,san pedro,1879
2025-05-21,13,general canas,513
2025-05-21,18,general canas,1157
2025-05-21,20,zapote,1481
2025-05-22,1,ruta 32,448
2025-05-22,2,ruta 32,1064
2025-05-22,6,alajuela centro,955
2025-05-22,11,circunvalacion,1906
2025-05-22,22,zapote,799
2025-05-23,0,alajuela centro,1618
2025-05-23,11,san pedro,1105
2025-05-24,1,ruta 27,1553
2025-05-24,9,circunvalacion,1385
2025-05-24,11,san pedro,1053
2025-05-24,13,alajuela centro,986
2025-05-25,3,san pedro,1384
2025-05-25,6,general canas,942
2025-05-25,11,general canas,1823
2025-05-25,17,ruta 27,776
2025-05-26,3,circunvalacion,467
2025-05-26,15,alajuela centro,1002
2025-05-26,20,ruta 27,866
2025-05-27,2,ruta 32,484
2025-05-27,10,ruta 27,905
2025-05-27,16,zapote,687
2025-05-27,18,circunvalacion,1483
2025-05-28,4,ruta 27,1713
2025-05-29,0,ruta 27,748
2025-05-29,3,ruta 27,528
2025-05-29,9,general canas,634
2025-05-29,11,ruta 27,774
2025-05-29,12,ruta 27,891
2025-05-29,14,san pedro,940
2025-05-30,2,ruta 32,569
2025-05-30,7,general canas,257
2025-05-30,9,general canas,397
2025-05-31,4,general canas,1600
2025-05-31,8,general canas,559
2025-05-31,12,san pedro,1096
2025-05-31,15,alajuela centro,868
2025-05-31,19,alajuela centro,1045
2025-05-31,20,circunvalacion,1669
2025-06-01,23,alajuela centro,505
2025-06-02,12,zapote,704
2025-06-02,14,ruta 27,1825
2025-06-02,17,ruta 32,637
2025-06-02,20,general canas,1555
2025-06-03,18,ruta 32,354
2025-06-04,17,alajuela centro,768
2025-06-05,1,ruta 32,336
2025-06-05,6,circunvalacion,1236
2025-06-05,9,alajuela centro,1020
2025-06-05,10,circunvalacion,1119
2025-06-05,17,ruta 32,539
2025-06-05,23,circunvalacion,1158
2025-06-06,5,ruta 32,1566
2025-06-06,10,zapote,1239
2025-06-06,11,san pedro,1140
2025-06-06,13,zapote,722
2025-06-06,21,circunvalacion,628
2025-06-07,9,alajuela centro,1319
2025-06-07,13,alajuela centro,1931
2025-06-07,18,general canas,1443
2025-06-07,19,ruta 32,1703
2025-06-07,22,ruta 32,1045
2025-06-08,3,ruta 27,1011
2025-06-08,10,zapote,1091
2025-06-08,11,ruta 32,898
2025-06-08,13,san pedro,647
2025-06-08,16,zapote,1553
2025-06-09,0,zapote,1474
2025-06-09,4,ruta 32,1026
2025-06-09,12,circunvalacion,251
2025-06-09,20,ruta 27,876
2025-06-10,4,ruta 27,1514
2025-06-10,7,san pedro,881
2025-06-10,12,san pedro,1837
2025-06-10,18,ruta 27,1517
2025-06-10,22,general canas,1257
2025-06-11,13,general canas,1315
2025-06-11,14,san pedro,1525
2025-06-11,17,ruta 32,1381
2025-06-11,22,san pedro,1734
2025-06-12,3,circunvalacion,615
2025-06-12,18,zapote,1530
2025-06-12,19,san pedro,1379
2025-06-13,5,circunvalacion,1831
2025-06-13,7,general canas,738
2025-06-13,15,general canas,1852
2025-06-13,19,zapote,1190
2025-06-14,6,alajuela centro,1077
2025-06-14,10,alajuela centro,1276
2025-06-14,14,san pedro,913
2025-06-14,23,general canas,973
2025-06-15,0,san pedro,1647
2025-06-15,4,san pedro,1182
2025-06-15,11,ruta 27,1891
2025-06-15,15,ruta 27,464
2025-06-15,18,general canas,1463
2025-06-16,1,ruta 32,1096
2025-06-16,7,general canas,394
2025-06-16,20,circunvalacion,249
2025-06-16,22,zapote,1216
2025-06-17,3,ruta 27,915
2025-06-17,5,general canas,639
2025-06-17,7,san pedro,1216
2025-06-17,8,san pedro,1497
2025-06-17,12,general canas,212
2025-06-17,18,ruta 27,730
2025-06-18,14,alajuela centro,477
2025-06-18,16,san pedro,1133
2025-06-19,0,alajuela centro,1592
2025-06-19,8,zapote,702
2025-06-19,20,alajuela centro,1211
2025-06-20,3,zapote,1015
2025-06-20,11,circunvalacion,614
2025-06-20,19,ruta 27,860
2025-06-20,22,circunvalacion,1729
2025-06-21,8,zapote,1928
2025-06-21,18,ruta 32,1627
2025-06-21,19,ruta 32,278
2025-06-21,23,ruta 32,298
2025-06-22,7,san pedro,1419
2025-06-22,10,circunvalacion,1133
2025-06-22,14,zapote,647
2025-06-22,17,general canas,1323
2025-06-22,18,zapote,991
2025-06-23,2,ruta 27,427
2025-06-23,5,general canas,1520
2025-06-23,6,ruta 32,518
2025-06-23,9,circunvalacion,1039
2025-06-23,13,ruta 32,1482
2025-06-23,16,ruta 27,1799
2025-06-24,1,general canas,1223
2025-06-24,4,zapote,1227
2025-06-24,5,ruta 27,417
2025-06-24,6,ruta 27,1384
2025-06-24,19,alajuela centro,1992
2025-06-25,3,ruta 32,1746
2025-06-25,9,general canas,712
2025-06-25,21,zapote,1038
2025-06-25,22,alajuela centro,608
2025-06-26,11,general canas,1061
2025-06-26,22,ruta 32,1237
2025-06-27,1,general canas,1383
2025-06-27,2,alajuela centro,1669
2025-06-27,10,circunvalacion,1846
2025-06-27,11,circunvalacion,752
2025-06-27,17,zapote,478
2025-06-27,21,general canas,836
2025-06-28,8,san pedro,1881
2025-06-28,22,ruta 32,1572
2025-06-29,6,zapote,803
2025-06-29,7,circunvalacion,936
2025-06-29,11,circunvalacion,689
2025-06-29,13,circunvalacion,1276
2025-06-29,14,alajuela centro,1613
2025-06-30,0,ruta 27,586
2025-06-30,9,zapote,1694
2025-06-30,13,ruta 27,911
2025-06-30,14,general canas,894
2025-06-30,17,general canas,1332
2025-06-30,18,ruta 27,1226
2025-07-01,0,san pedro,920
2025-07-01,4,alajuela centro,558
2025-07-01,5,circunvalacion,1508
2025-07-01,18,ruta 27,761
2025-07-01,19,ruta 27,408
2025-07-01,23,ruta 32,242
2025-07-02,4,circunvalacion,596
2025-07-02,16,ruta 27,1750
2025-07-02,21,alajuela centro,1089
2025-07-02,22,ruta 32,225
2025-07-03,9,san pedro,1537
2025-07-03,14,san pedro,998
2025-07-03,19,san pedro,1696
2025-07-04,0,ruta 27,1947
2025-07-04,2,general canas,425
2025-07-04,17,zapote,1427
2025-07-04,23,alajuela centro,1485
2025-07-05,4,san pedro,279
2025-07-05,7,ruta 27,1033
2025-07-05,12,circunvalacion,601
2025-07-05,19,circunvalacion,1586
2025-07-06,1,ruta 27,562
2025-07-06,2,zapote,1045
2025-07-06,4,ruta 32,1078
2025-07-06,9,alajuela centro,1423
2025-07-06,12,zapote,1464
2025-07-06,13,san pedro,509
2025-07-07,1,zapote,1913
2025-07-07,4,san pedro,895
2025-07-07,11,general canas,1677
2025-07-07,20,ruta 27,1771
2025-07-08,11,ruta 32,1053
2025-07-08,18,ruta 32,1850
2025-07-09,3,san pedro,225
2025-07-09,6,general canas,938
2025-07-09,9,san pedro,507
2025-07-09,20,alajuela centro,966
2025-07-10,3,ruta 32,1088
2025-07-10,19,ruta 32,508
2025-07-10,20,circunvalacion,1712
2025-07-11,2,general canas,424
2025-07-11,6,san pedro,1847
2025-07-11,8,circunvalacion,1365
2025-07-11,13,san pedro,838
